artcle_title,text
fgo好玩在哪裡？,感謝#300343賀圖 場外第一30萬樓 如有任何ID錯誤告知在354樓 - 若要徵友也可以到354樓留言 如題 都沒人再玩fgo我覺得好傷心好難過喔有沒有人可以出來陪我邊緣   MASTER ID表(會標示樓層)…
【問題】佐助是不是蠻爛的啊?,勝率不高怎麼打怎麼輸 好幾次都是被救走不然早就掛了
【東方地靈殿】兩千樓了 在無意識之間走過了好多的路,嗚嗚嗚 今天也是無意識的混過去了呢…
【討論】恩恩爸「將提出國賠」：訴求金額一元整 再多的錢也喚不回兒子生命,新聞連結 新頭殼newtalk |張柏源 綜合報導 2022年7月1日 週五 上午3:02 恩恩爸爸30日深夜在臉書發文表示，將向政府提出國賠新台幣「1元整」。 圖：翻攝恩恩爸臉書（資料照） [新頭…
【情報】半夜加油站出現獨角仙,我以為都市不會有欸
【情報】這個風格真的好棒 阿賴桑在公寓迷路了,電梯篇 https://twitter.com/abubu_newnanka/status/1223905518239961090?s=19 錯樓篇 https://twitter.com/abubu_newnanka/status/1224325223983374336?s=19 樓梯篇 https://twitter.com/abubu_newnanka/status/1224566007424937987?s=19 塔諾喜…
【問題】有射精地獄嗎,去到那個地獄以後會有一堆巨乳大姐姐圍繞著你 不斷的挑逗你全身上下 用盡渾身解數也要讓你射精 即便已經射到乾掉 射出血來 還是會不斷的射精 當個射精奴隸直到永遠
【討論】恩恩爸「將提出國賠」：訴求金額一元整 再多的錢也喚不回兒子生命,新聞連結 新頭殼newtalk |張柏源 綜合報導 2022年7月1日 週五 上午3:02 恩恩爸爸30日深夜在臉書發文表示，將向政府提出國賠新台幣「1元整」。 圖：翻攝恩恩爸臉書（資料照） [新頭…
【閒聊】你是想被愛 還是想愛人,亦或純粹只是想用這層關係彌補自己內心的空虛
你允許女兒男朋友在你面前親你女兒嗎？,嘴對嘴那種，如果是婚禮現場，我還能接受，沒結婚前在我面前親，我會很想打下去
【心得】[闇影詩章]  場外SV群 第24彈卡包 「Edge of Paradise / 天象樂土」開始這場無終之宴吧~歡迎入坑,新手有想問的 可以加LINE群 歡迎你 Discord 群 https://discord.gg/bH2hPgC 安 我是樓主 因為做楓之谷實況主的關西真的忙 所以我半年沒玩了 樓主已達雙系列最高牌位 有問題都可以問 我的個…
【閒聊】Guardian Tales 守望傳說串,團長鎮樓圖 稍微講一下簡單攻略就是 先選好伺服器 亞服世界2 我那時候預設是北美 如果要玩北美也行 但是競技場時間可能會卡到作息 接著首30抽的部分先刷出5星武器 現在新手30保…
覺得台灣 很幸福！,一大早就有一堆 超好吃又方便的早餐店 就算凌晨四五點 也有很多豆漿蛋餅油條可以吃 非常喜歡台灣的早餐店
【問題】索尼現在是不是岌岌可危啊,鈔能力比不過微軟獨佔打不贏任天堂 連現在IP也輸老三微軟 只能賣殼子割索粉韭菜 索尼會不會又重演當年的賣大樓啊
【問題】場外怎麼不設個上線人數?,像ptt那樣有目前上線人數，這樣我才知道凌晨有多少人宅在這裡
【情報】Anime Expo 2022 新商品模型資訊 更新中 更新中 更新中,Anime Expo 2022 新商品資訊 更新中 更新中 更新中 Anime Expo 2022 Figure Update! Good Smile Company Skullgirls Nendoroid Valentine Stay tuned for more info! Anime Expo 2022 Figure Update! Good Smile Company Mob Psycho 100 III PO…
【閒聊】7/2 每日點兔,難民生活 Day553 id=73146706 @masamasan id=99415002 id=93115204 id=76933731 @fleina_note gochiusa(367).gif (2020.11.8) TVアニメ「ご注文はうさぎですか？ BLOOM」公式サイト 《請問您今天要來點兔子嗎?》 《…
【問題】早安中國我現在有醉拳甘迺迪,
【hololive.EN】Ceres Fauna 像母親般慈愛的治癒大樓,美如畫 簡介 45億年前，自宇宙中的瓦礫，重力將大氣與塵埃聚集，形成了地球，一個星球誕生了。 單細胞生物、微生植物以及巨大的紅木樹、利用地下系統溝通的菌類，動植物不斷…
【討論】其實國軍很爛吧 ㄏ,我當了4年志願役啦 退伍了 幹真的是狗幹 比某個自刪說是女的不能當兵還行吧 臭釣魚仔
【金寶】早上好 內湖,早上好 內湖 現在我有熱狗 我很喜歡熱狗 但是金寶叔叔大戰熱狗鬼比熱狗 金寶叔叔大戰… 金寶叔叔大戰熱狗鬼 我最喜歡 所以現在是音樂時間 準備 1 2 3 兩個禮拜以後 金寶叔叔大戰…
【情報】國1南下315.5K連環車禍　4車撞成一團...1車側翻,新聞發布日期：2022年07月01日 18:25 媒體來源：ettoday新聞雲 完整新聞標題： 快訊∕國1南下315.5K連環車禍 4車撞成一團...1車側翻完整新聞內容： ▲國道一號南下315.5公里新市路段，下…
"【心得】船長成為兩百萬vtuber的時候,回文的抽三位送steam任何一款遊戲,8131樓加碼參戰",Ahoy 今天船長成為百萬Vtuber了超開心 等她成為兩百萬Vtuber的時候 回文的人裡面隨機抽三位 送 steam的任何一款遊戲 抽到的人自選 但是只限3000台幣以下的喔 大家追起來吧！ https://youtub…
【問題】為什麼台獨的會被叫台獨狗,但是統一的卻不會被叫統一狗
【問題】要怎麼委婉跟巴友說他的勇造很色啊,
【密技】幫我選消夜==,要去小7買還是ㄘ晚上買的現在已經冷調的便當==?
【每日一推R】牧之原翔子大樓（進來看看吧~,這是可愛的牧之原翔子大樓 多多支持哦~ 不認識的可以從今天開始認識 不喜歡的可以從今天開始喜歡 牧之原語錄： 「我覺得，人是為了變得更溫柔而存在的。變得比昨天更溫柔，這…
【情報】最勵志最正面ㄉ賽馬娘,https://www.pixiv.net/artworks/89513034 https://www.pixiv.net/artworks/94224318 https://www.pixiv.net/artworks/89343331 https://www.pixiv.net/artworks/92831711 https://www.pixiv.net/artworks/93577440 https://www.pixiv.net/artworks/92817077…
【閒聊】邊緣?甲甲閒聊3.5串,第二串樓主刪掉了，覺得好像少了甚麼....因為有另一篇也是三串，所以多個0.5作為第四篇文。 #12 第三串開串者出來說明了
【閒聊】場外第七史詩 夏日泳裝系列要復刻啦！,第七史詩，掌握在你手中的動畫。 以精美的必殺動畫、鮮明的人物設定 創造出屬於你的史詩！ 《第七史詩》x《Re：從零開始的異世界生活》合作 （已結束，等復刻） 巨乳 乳搖 獸…
【閒聊】空帕斯(COMPASS)日版五週年,我是來推坑的 先上一張mg吸人好了~ 這是一款我玩了4年的遊戲 一開始是被我身邊的朋友因為RE0的合作推入坑的 這遊戲的操作系統很新穎 新手可能要多玩才能變強 玩這款遊戲要有耐…
【情報】限縮民眾交通違規檢舉的真相,大家好 我是一個長期關心交通議題的鄉民 從上個月七號立法院通過限縮民眾檢舉修正草案後 我感到非常疑惑，我們每年交通違規破1000萬件 死3000人 傷數十萬 面對違規亂象，政府的…
【問題】唐山燒烤是殺人不是打人，真的假的？,剛開始看到也只是笑笑 因為太誇張了 現在越來越有一回事的感覺
【問題】暑假想進場魔物獵人該買哪一版,steam的 到底該買world 還是rise
【問題】哪個店商7/7號可以便宜收購X2HR,RT 我大概只知道X2HR 蝦皮7/7可以3100左右收到 今天跟我媽還有他朋友出來玩 他朋友都好大方 我跟另個孩子都有幾千的紅包 原本可能會多1000 2000的 結果我才說一句不用啦 那個阿伯就把…
【問題】半夜無聊 想問問大家對朋友放鳥是什麼樣ㄉ態度呢,先分享個小故事 想起去年朋友也算小有名氣ㄉ實況主 好像都會跟別台主播搞個什麼連動的 互相增加觀眾 好像蠻常見的 有一個蠻常一起聊天的似乎聊的很熟了 某天約好某個時間一起…
【情報】「數位中介服務法」草案意見徵詢,「數位中介服務法」草案意見徵詢 網址：https://join.gov.tw/policies/detail/43dbdcc4-af21-4fcb-9173-d3b5993ab88d 對於 【情報】NCC通過數位中介服務法草案 臉書、YouTube均將納管 網址：https://forum.game…
【問題】有人知道Fantia要怎麼儲值嗎？,RT沒有信用卡
【密技】趁半夜沒人,偷星爆
【其他】年過半百了,第一次感覺到死亡如此之近
【閒聊】辦信用卡要選哪一家比較優質,你覺得呢？
【閒聊】滑板串 問 都問,rt 對滑板有興趣的朋友 問題隨便問 輪架資訊，很精華系列 滑板培林的真相 板身製造商資訊，可以點進去看自己的製造商， ctrl+F 問題系列: 有想買板的不要在網路上買 #87 shoegoo/鞋膠…
【問題】老外又在google map搞事了,關鍵字：多倫多
【FF14、FFXIV】6.1更新、PVP牙狼復刻、金蝶祭6/3~6/20,"6.0預告片 職業介紹 4.0版本 5.0版本 在找好玩的線上遊戲嗎? 那你一定要試試這款""Final Fantasy XIV"" 世上最優秀的MMORPG之一 遊戲用採用月費機制，月費依帳號等級有兩種價格: Entry…"
【問題】幹幹幹 急急急! 有人知道健康體育護照要怎麼變回預設照片嗎,RT 剛才無聊亂改 不知道能不能變回去 還是老師那邊其實也不會知道 == 有人知道嗎?  自己DIY回來了 不要再推了 ==
【心得】大綠奶,
【討論】這是我們的大樓,我一天蓋一樓這樣只要蓋65540天就可以封頂了 起司真聰明
【問題】我朋友終於有工作了,他開心的很 我希望他能開心持久
【馬娘】《賽馬娘》1st - 合宿×燒烤×釣魚×尋寶~夏日冒險譚!「夏裝:大樹&多伯」登場!!,最新活動 第1部 最終章 後編「煌めきはどこまでも」 - 「Rivals」之後的新系列CM「GENERATIONS」 「GENERATIONS 己が勝利を求めた時代」篇 一個我尋求勝利的時代。 承諾的，意外的，一生…
【閒聊】太肥了吧,= =
【心得】魔物獵人 新BOSS越作越誇張==,現在直接自由剛彈開起來
【閒聊】想聽New Age新世紀音樂,就是像這種的 場外人有推薦的嗎？
【場外MLTD x SAO串】當你以為星爆只是玩梗.jpg,https://twitter.com/mltd_ch https://www.plurk.com/mltdtranslatech MLTD中文翻譯頻道上線啦 製作人快點按追蹤吧 現在手遊琳瑯滿目、不知該從何下手？ 猶豫不決不知怎麼選擇適合自己的手遊？ 那麼…
【俺妹】我的妹妹哪有這麼可愛 07/02,我也要開始學縫娃娃了
【問題】單身24年 求幫p個女友放大頭貼,如題 單身24年了 身邊朋友一個一個交女朋友 我也不想輸人 特地拍一個有空位的求幫P
【情報】7/1 半夜歌串一人一首,哭阿，半夜拉肚子 結果失眠了 總共只有睡不到三個小時 早上出門完全不知道自己在幹嘛 撐到吃完午餐睡午覺才好了些 想說牛奶已經過期兩天了 所以就一次把剩下的通通喝完 我的…
【討論】股票串 （不要雞動 這裡不是ptt股版,更新啦幹 推幾個理財影片
【心得】今年聯發科跌破500我就把一間ikea所有鯊鯊買光,目前賠到爛掉 發哥跌破500我就把停損之後的錢全部拿去買鯊魚 回文就能拿 如果數量不夠就用抽的 我就不信一直跌 先說一下如果真的要送的話要自己出運費 我沒辦法負擔幾百隻鯊魚…
【討論】場外Warframe串  《扎日曼的天使們》,鎮樓圖如果有樓能鎮的話 (點圖有來源 萌新事件(#14954)
各種顏色的動畫人物,https://twitter.com/kaseywllms?t=4Gq5UuRwikJ_uXot5KIWSA&s=09
【閒聊】老實說，國王排名新篇章挺好看的吧？,自家王國解決後，波奇獨自冒險。走到了很令人擔心的國家，擺平遇見的事情。 邏輯上有哪邊錯了嗎？故事很好啊。還出現了新神。 大家不在意神是什麼東西，還有排名人怎麼能無…
【碧藍幻想大樓】我建議大家都學我擼個一管冷靜一下不要拆井，下井的也要謹慎,場外Discord群組請看這邊 宇智波騙你 詳細請看#187660，有興趣加入的也請到那樓 今天你/妳希望獲得怎麼樣的遊戲體驗？撇開佛心不佛心，你希望在網路看到的影片是能夠在遊戲中獲得…
【問題】Toyota AE86,Levin
【密技】這時間有人想運動嗎==?,剛剛ㄘ太保==
【心得】鼠寶...這都是個啥阿,才一個禮拜沒追VT 突然就丟一個聯名機殼出來，還這麼好看 484逼人死 而且上個月才剛組完新電腦，用的還是君主的機殼 現在勞贖丟這個 280鎂 現在月底欸 窩知道窩估計應該可能有機…
【問題】如何反駁這張圖,有時候覺得 還真的得感謝那些人 社會固然要有些人做一些科技無法取代的底層工作 也是那些人不那麼卷我才活得相對輕鬆
【問題】哇喔!現在沒IPAD是沒辦法念大學嗎?,還是只有清大才這樣? 大學生都好有錢呢
【閒聊】藍色的鐵捲門,代表著作者內心的憂鬱以及滄桑
【心得】我把我的車停在這一下,幫我顧一下，我去買個宵夜
"【討論】""星星點燈""改編有沒有比原唱好聽??",有沒有??
【問題】我覺得心臟無法再負荷這麼多東西了,我好難過
【閒聊】大家的STEAM個人頁面長什麼樣子,我很好奇 我先 頁面上MEOW的影片想知道連結在這
【問題】為什麼很多人會回麵包蟲的文,國文不及格 整篇文章很亂而且他也不會回你的文
【閒聊】新Vtuber八卦串 (#161356封面女郎開票 #155922八卦串原味生存),本月封面女郎 @Sibylart 養成良好視聽者習慣 過濾掉垃圾訊息 善用獨立思考的能力 本串規則 請詳閱 我也不想訂太多 因為我覺得原本串內的風氣就很好了 可以討論 包含但不限於 VT 中…
場外魔物獵人串 魔物獵人崛起_破曉 防7女高中生,場外獵人串dc 場外獵人串dc 專門用來聊天、約戰、交換調查報告....等等 因為是新創的所有問題會很多，還可能常常有更動 所以有興趣的就可以進來看看 #25997樓 2020/8/8號 我們見證了…
【討論】每天紀錄發生的開心事(內有祭品,自從上班當狗之後，遇到一堆低能兒，每天要死不活負能量滿載的那種每逢禮拜一都超絕望，幹你娘咧…為什麼要上班...我不想當狗啊== 但想要正面一下 難過也是一天當狗，開心也…
【閒聊】我的工作就是服侍賽巴斯汀先生。,遲來的自我介紹，我現在的使命是誓死保護電玩遊戲。 賽巴斯汀先生，您需要甚麼？請你盡管開口跟我說。
【討論】現在最紅的日團是不是鬍子男,如題 聽了幾首他們的歌都覺得有夠讚
【討論】Cygames《World Flipper 彈射世界》像素風彈珠台手遊！,*日服需VPN 《台港澳服》2021/05/26 開服 ↓↓↓ GNN新聞連結點我 ↑↑↑ 《台版官方FB粉專》： https://www.facebook.com/WorldFlipper.TW/?ref=page_internal 《台版官方網站》： https://world-flipper.beanfun.…
【認真】政府打算推動另一個版本的廢除網路中立 ─ 「 數位中介服務法 」,幾年前，電信三雄企圖推動「廢除網路中立」 當時不斷鼓吹政界商界盡速完成廢除 廢除的目的 第一：業者可以降速，如果要快，使用者必須多付錢給電信業 第二：電信業有權審核…
【閒聊】起床啦,不要再睡了
【問題】誰會想在凌晨三點吃美味蟹寶?,
【討論】來開個場外中華職棒（CPBL）串,剛剛看到了場外NPB串找了一下 發現沒有場外中職討論串？！！  更一下 場外中職的球迷比想像中的多好多.. 能看到這麼多人關心中職討論中職真的很感動 不管你是吱吱 爪爪 喵喵 邦…
【情報】為了看黑鮪魚才看回去看NEKOPARA的,把12集看完了，結果黑鮪魚是在OVA裡面的
【問題】沒有朋友一起回鍋玩遊戲 適合天堂 RO WOW還是新楓之谷?,7月比較有空一點 打算回憶以前玩的MMORPG 現在還存活的天堂 RO WOW 新楓之谷以前都玩過1到2年 但身邊的朋友 大都玩PS5或是STEAM比較多 不會一起玩 沒有朋友一起回鍋玩遊戲 適合天堂 RO…
【問題】如果雷影是出租女友的主角,劇情會是怎樣啊
【問題】睡地板4個小時就會醒,我忘記在哪部動畫看到的 好像是某個女生說的 有人想的起來嗎 應該是我最近看的
【問題】為什麼Line不能兩台手機用啊,很雞巴
【問題】台灣不是應該恨美國愛中國才對嗎?,還是相反
【情報】缺電問題「馬維拉」再登場 綠轟：馬政府對新設機組不用心,缺電問題「馬維拉」再登場 綠轟：馬政府對新設機組不用心134 葉書宏 2022年6月30日 週四 下午12:18 關於台灣電價調漲，挨轟是缺電問題，對此，民進黨立院黨團幹事長鄭運鵬今（30日…
【問題】場外有多少甲甲跟獸控啊,最近找到好多新圖 貼一張不會上車的
【心得】怪奇物語第4季真的很好看,比起上一季混了一些搞笑 這一季的內心戲和背景故事寫很深入 為了之後的展開監製就決定這樣收尾是很可惜 但是剩下的人怎樣反抗也令人很在意
【密技】東方本本串,Circle Eden hisona tousen shian フメイ nerco senmura 好像已經倒兩三次了但還是蓋回來吧
【心得】哭阿 十年了,軟體都快過氣了
【閒聊】晚安了各位,頂不住了
【問題】麵包蟲認不認識卡羅斯這位知名的蟑螂？,
【病嬌】病嬌作品交流分享,開這串的目的主要是分享病嬌向的作品，不管是動畫、漫畫、小說、遊戲、音聲、ASMR、歌曲，甚至是三次元，只要跟病嬌相關的任何東西都可以！ 只是要分享圖的話，可以到場外另…
原神 泳裝,
【攻略】可以給我各種巨乳、爆乳、超乳嗎？《虎年大奶》 【超大ㄋㄋ大樓】,虎年大奶 新的一年也請各位多多指教了  我有個夢想 我要蓋一座每個男人都能通往天堂的高塔 8/18 版規二下修 在各位努力不懈 用屍體堆砌的大樓中 終於大樓越過了版規二的修改 更…
【心得】怪奇物語 第四季,—————-防雷————————- 現在是固定每季新角色都要死就是了 幹他媽Eddie 很帥欸 媽的電吉他那段真的是帥翻， 然後後段智商突然下線跑去自殺？？ 還有發便當要就發乾…
【ヘブバン】沒有棒球！麻枝准睽違十年遊戲新作，Heaven Burns Red大樓,主PV 角色介紹PV: 31A隊(主角隊) 31B隊 31C隊 31D隊 31E隊 31F隊 31X隊 30G隊 歌曲區 第一章劇中曲 第二章劇中曲 第二章boss曲 主題曲 ed
【神準】《2022年》半夜4點還醒著又進來留言的 今年一定有桃花女生喜歡上你,新的一年 2022年 大家一起加油！ 你們是有多久沒交女朋友了 都還沒到半夜四點 就來留言  賀今年9位脫魯 2495樓 2547樓 2753樓 2777樓 2995樓 3013樓 3031樓 3165樓 3185樓 大家獻上祝福吧！  以…
【閒聊】如果現在沒冷氣,你們還頂著住嗎？
【心得】虛空斷章原來有些地方沒邊界喔,原來能跳崖自殺
【情報】惹錯人！台中屁孩搭電梯被夾痛毆阿伯　小弟秒支援慘被打趴,新聞來源:三立 https://www.setn.com/News.aspx?NewsID=1139059 社會中心∕綜合報導 ▲男子酒後不甘被電梯門夾頸，將老翁推擠到電梯角落辱罵。（圖∕臉書爆廢公社，下同） 有民眾在社群媒體…
想聽英文歌 有推薦的嗎？,現在想聽歌 有推ㄉㄇ
【問題】我哥確診了,但他房間沒有門 瑟瑟發抖
【情報】終於找到一間我買的起的房子,只要你認真找，年輕人還是可以買的起房子
【楓谷】拒絕85代製代洗代抽，06/22 冒險家大改、星光交響樂、極限燃燒,玩ㄈ谷前的預防針： 想要玩ㄈ谷或回谷的人 真心建議是有朋友一起玩ㄈ谷，不然你上線會覺得很空虛 如果是資深ㄈ友，那有疑難雜症都可以問，至少不會當冤大頭 回谷>練等>農…
【心得】月底只能這樣吃了,特價的豬頸肉加一些芹菜、洋蔥、罐裝香料、醬油、番茄醬、黃芥末 都是便宜的材料，通通直接丟電子鍋燉個五小時 剩最後一小時再倒一罐一美元的燉豆罐頭下去 之後把豬頸肉撕爛…
【LoL】你問我解答，場外英雄聯盟串,完成一個懶人百科吧 提出英雄or道具 我可以告訴你一些未來的可能性 來來來
【問題】還有人在玩LOL喔?,臭甲醜女sjw+中資遊戲各種debuff 這個東西還有玩家ㄇ
【問題】如何找到平靜,很久沒有靜下來的感覺了
【問題】聽說股票跌很兇?,改快賣掉歐印龍巖或其他殯葬股 台灣人最討厭的重機猴要上國道必定血流成河對吧? 聽說很多智障這麼性幻想的，那就相信龍巖會帶來一股經濟奇蹟吧~~
【問題】拜託app版巴哈再大改一次,快沈了
【問題】Fantia好像不給刷郵局visa了,哭啊我只是想繼續支持正版而已 為什麼要這樣對我..
【情報】千萬訂閱的Minecraft YouTuber Technoblade因癌症去世了,他最廣為人知的稱號應該是Minecraft最強玩家 基本上pvp是最頂的那種 戰力頂點 曾經在Bedwars遊戲中達成1400連勝 最後還是自己不想拼了結束掉這個記錄的 去年左右他就有發影片說自己…
【攻略】Cataclysm: Dark Days Ahead (CDDA) 遊戲推廣中心,代誌大條 - 烏日到站 場外大樓 Cataclysm: Dark Days Ahead 是一個擁有近未來世界觀的回合制生存遊戲在這個怪物橫行的末日世界中 你的目標僅有一個……活下去……  頂樓公告  20201103 297…
【閒聊】其實很多以為自己真的善良的人根本不懂善良,這社會有個很矛盾的點，善良的人，他包容，容忍有愛。壞的人，剝削，傷害，迫害別人。 真正的善良，是拿起刀，拿起槍，把有問題的人通通殺掉才是善良。 如果以不殺，友善，…
死神廚幫幫我 這裡是白哉對吧？,
【討論】阿夸出遊戲新聞下面留言超好笑,https://gnn.gamer.com.tw/detail.php?sn=234111 先來一些玩梗的提到抽菸中國美洲豹這些關鍵字 然後一堆粉絲跑來氣撲撲的噴這些玩梗的
【問題】黑橘有夠黑!我99個還抽不到兩個號碼!機率有夠低!,黑橘有夠黑! 我99個還抽不到兩個號碼! 機率有夠低! 還好沒花錢! 用遊戲裡送的抽!
【攻略】每天凌晨二點,就把這篇挖出來簽到來看看深夜常客有誰 (其他時段勿挖 半小時後簽到截止
【情報】前足球員實境秀練跳水　睪丸瞬間爆裂！腫如氣球被醫生判「一刀兩斷」,2022.06.29 18:16 臺北時間 前足球員實境秀練跳水 睪丸瞬間爆裂！腫如氣球被醫生判「一刀兩斷」 文｜施旖婕 前足球員實境秀練跳水，睪丸瞬間爆裂！腫如氣球被醫生判「一刀兩斷」。…
【自製遊戲】勇者之島 : 地下城(多人網頁遊戲),【勇者之島地下城】 找回最初感動的冒險起點 故事背景 遠方有一座小島，有一個久遠的地牢，傳說中有一個勇士阻止了大量怪物入侵，並且將之封印。 但最近因地殼不明的移動，…
【閒聊】你們對LGTV有什麼看法？,LG在電視這塊一直都做得不錯不過我家是用Sony的
【晚安串】你是任誰都比不上的完美宇宙。,【一開始想要給大家說的話： 】 『這世界，我們生活的台灣還是有很多非常美麗的地方。 天氣晴朗的時候，有沒有想過讓自己走出去外面，去到自己沒去過的地方，讓自己原本被烏…
【情報】有女朋友/老婆就不要叫魅魔了好不好,害我的純愛之心在抗拒有婦之夫給我乖乖跟老婆做愛不要出軌
【hololive.EN】Watson Amelia 華生那麼婆不能沒有大樓,歡迎搭配BGM食用 EN組最喜歡鯊鯊跟華生 既然鯊鯊已經有人蓋了 那我就要蓋阿梅大樓 蓋都蓋 每天蓋 想起來就蓋 樓主已經因為忍不了會長的傷痛半退坑了 阿梅的YT頻道 阿梅的推特 TAG…
【情報】超恐怖食人魔！男殺30女肢解吃進肚 地下室埋4600塊人骨竟還有小孩,聯合新聞網2022-07-01 09:18 香港01∕ 撰文： 布萊恩 調查人員在Mendoza家中地下板的水泥板下發現許多人類遺骨，需動員多名專家協助，包括考古學家。（「FiscalEdomex」Twitter影片截圖）…
【閒聊】這個時間點是不是應該要打手槍,五樓在玩屁眼
【閒聊】FB文章分享「你被騙了！《明天會更好》真正的歌詞原文！」,沒想到初版那麼厭世 又那麼現實 像是撕碎舊世界、控訴無恥的謊言 跟後來的歡樂版差好多 有興趣可以點連結去看原文哦 https://www.facebook.com/100044275753953/posts/pfbid0xvd4x1xdjp9VogLRDoAWg32t8j…
【區塊鏈串】加密貨幣(比特幣、以太幣...)、DeFi、NFT、元宇宙、Luna & UST 歸零膏，該上班囉,【區塊鏈串】 有新消息都來這串PO，有關比特幣的問題都可以問，一起關心區塊鏈的發展 還不明白的新手，可以先從這三個影片從零開始了解 比特幣簡史 10個比特幣的常見錯誤認知…
【閒聊】淦你的 好癢,剛剛我出去外面拿信，回來的時候感覺背後有什麼東西，下意識就用手去摸 結這東西觸感很軟而且有點大 結果我的肩膀整個大爆痛外加爆癢 tmd ????
【討論】場外日麻 / 日本麻將推廣集中串 | 雀魂 / 一番街 / 雀姬 / 天鳳 ...,快來分享自己遊玩的情境吧！！ --遊戲情報-- 雀魂 中文服官網 (Web / PC / Android / iOS / Steam) | 日服官網 (Web) | 國際服 (Web) 麻雀一番街 官網 (PC / Android / iOS) 雀姬 台服 | 陸服 | Steam (相關…
【其他】我覺得不是處女的女生好髒,結婚之前就跟男人上床 很骯髒欸 就是二手貨了阿 這是事情阿 就是被男人幹過 被用過
【問題】重機上國道,希望速可達也可以??
該把錢給老婆管嗎,目前打算生第一胎，老婆說考慮到家裡的狀況希望我把錢給他管 座標新北，我在某間IT產業的公司上班，基本上一個月大約六萬左右吧 老婆工作沒我那麼繁忙，說想讓我把錢給他管…
【問題】日清擔擔麵+蛋,
【問題】買了東方風神錄,有什麼要注意
【閒聊】場外人這時候都去睡了吧@@,給你們看我最想要的車車
【情報】場外拉麵大樓的啦！,這邊正式推廣一下，歡迎大家來到我們ㄉ拉麵大樓ㄛ 大家都只是熱愛拉麵的普通人 有需要任何地區的推薦店家 或是詢問口味呀等等的都歡迎 對了，希望大家就算沒有寫心得，也可…
【情報】怪奇物語第四季真的太屌啦!!,這一季真的太狂啦熬夜看完全部 越來越期待最後一季了
【集中串】黑暗集會大樓，成為幽靈系寶可夢大師之路,很久沒看到能進步那麼快的漫畫， 大概連載半年左右(第七話)，劇情架構更為完整且無突兀感， 同時利用劇情開創了更高規格的戰力且帶出原本沒有的對戰畫面， 並且每隻鬼都有相…
