artcle_title,text
【閒聊】到底是哪個低能兒會在凌晨5點出頭 打來,剛剛被電話聲吵醒 幹你娘又是哪個低能兒在這鬼時間打電話到家用電話來 上禮拜也是 這禮拜也是 484他媽有人在搞啊 而且還未顯示的 回撥回去也不接 他媽下禮拜再打來 我一定報警…
【問題】火災燒掉的房子會被送到陰間去嗎？,
【心得】今年女友生日我只帶她去吃肯德基,她不但沒有翻臉還很高興我下班後能趕去找她 這就是所謂的真愛對吧？
【問題】油宅而幾點要睡,幾點
【討論】其實國軍很爛吧 ㄏ,我當了4年志願役啦 退伍了 幹真的是狗幹 比某個自刪說是女的不能當兵還行吧 臭釣魚仔
【討論】男被後車按喇叭！暴怒下車「放沖天炮」　後座女傻眼：哪招,男被後車按喇叭！暴怒下車「放沖天炮」 後座女傻眼：哪招 2022/07/01 台北市南港區上個月29日晚間6時許，1名34歲麥姓男子駕駛租賃車行經於南港路二段路口時，突然在路燈時煞車，…
【閒聊】「你在巴哈亂罵人啊 再罵啊 抓到了啦」那篇自刪了(被永久A車了),巴哈帳號 appleyoume77 (237樓更新 目前appleyoume77遭到永久A車了，但要防範分身。 https://forum.gamer.com.tw/C.php?bsn=60076&snA=7173739&to=237) https://forum.gamer.com.tw/C.php?bsn=60076&snA=7172728 訟棍還這…
【問題】西門捷運站怎麼整個被改造成賽馬場,這是什麼文化侵略嗎 阿我要去哪裡才能領到五百
【情報】女友睡在旁！男大生竟大膽性侵女同學　下場超慘重,2022/7/1 謝姓男大生前年與女友、同系女同學相約赴東北角一帶遊玩，投宿新北市石門區一間民宿，晚上1男2女同睡一床，謝男竟不顧女友睡在旁，對女同學心生歹念，趁女同學熟睡時…
【馬娘】《賽馬娘》1st - 合宿×燒烤×釣魚×尋寶~夏日冒險譚!「夏裝:大樹&多伯」登場!!,最新活動 第1部 最終章 後編「煌めきはどこまでも」 - 「Rivals」之後的新系列CM「GENERATIONS」 「GENERATIONS 己が勝利を求めた時代」篇 一個我尋求勝利的時代。 承諾的，意外的，一生…
【心得】逍遙與無窮,走到現在 已經逐漸偏離了一開始的初心了 忌妒、憤怒、哀傷、悔恨、無力 依舊是無法破除這些陰霾 活著的理由？ 什麼為了理想這類的話我說不出口 我沒有那麼高潔的情操 單純怕…
【問題】這篇還在嗎 怎搜尋不到 是我太廢嗎,
【問題】長水痘可以繼續上班嗎,RT 全身超癢，但不知道是要請假還是繼續上班
【情報】國賠僅求償1元　恩爸哽咽：「只要真相」錢換不回恩恩生命,三立新聞 ▲恩恩爸哽咽，他只是想要真相（資料照） 2022/07/01 13:13:00 記者高逸帆∕台北報導 新北市中和區2歲男童恩恩不幸確診離世，其父親持續追求「消失的81分鐘真相」，更提出…
【情報】陳家欽指控介入警界人事 徐國勇：權力本就是我的 有什麼好喬,yahoo 2022年7月1日 週五 上午11:05 前警政署長陳家欽日前申請提早退休，並於昨天卸任，他接受自由時報專訪透露，離職主因是內政部長徐國勇介入警政人事。徐國勇今天出席內政部全…
【畫畫】本咧犬ㄉ畫畫大樓 歡迎來閒聊提問,ㄤㄤ 歡迎來到這個奇怪ㄉ強迫樓主畫畫大樓 窩是咧犬 我有畫一堆可愛插畫的夢想 只有畫畫當下可以讓我拋下種種煩惱 但畫畫最忌諱偷懶ㄌ，我就是最常偷懶的那個 需要一點外部壓…
【討論】股票串 （不要雞動 這裡不是ptt股版,更新啦幹 推幾個理財影片
【閒聊】板橋大庭店,這間全家是不是意識型態不及格
【密技】這時間有人想運動嗎==?,剛剛ㄘ太保==
一人一款美食 你覺得好吃推 你不喜歡噓,
【攻略】《夏語遙 AI 聲音庫》籌製計畫,《夏語遙 AI 聲音庫》籌製計畫 我女神夏語遙的轉生計畫，準備從原本老舊的ＵＴＡＵ引擎跳級轉生成這幾年的新技術ＡＩ聲庫。 不過官方設定的募款達標條件很硬，要在７月１５日…
【問題】CSO解碼器怎麼變那鬼樣,登了登登登也被剝奪了嗎
【閒聊】晚安了各位,頂不住了
哭啊 你媽死了,
【情報】用滑鼠每日一善！歡迎各位場外巴友們踴躍參與！〈20170114更新〉,我本身已經點擊這個網站從國中到現在， 所以請別擔心網站的真假，大方的點下去，你送出的一碗食物，就能救活一個人！ http://thehungersite.greatergood.com/clickToGive/ths/home?ThirdPartyClicks=T…
【情報】台灣物資運抵阿富汗強震災區 災民：開心振奮,https://www.cna.com.tw/news/aopl/202207010212.aspx 中央通訊社 2022/07/01 （中央社記者鍾佑貞台北1日電）台灣與土耳其紅新月會攜手賑濟阿富汗地震災民，首批物資運抵。紅新月會駐阿富汗代表…
【討論】Cygames《World Flipper 彈射世界》像素風彈珠台手遊！,*日服需VPN 《台港澳服》2021/05/26 開服 ↓↓↓ GNN新聞連結點我 ↑↑↑ 《台版官方FB粉專》： https://www.facebook.com/WorldFlipper.TW/?ref=page_internal 《台版官方網站》： https://world-flipper.beanfun.…
【問題】推特怎麼那麼多人放自己照片,然後還跑去一些大奶妹的文下面留言，有的還放自己的屌照，有時候點進去看自介還有住的地區跟自拍一堆屌照我都不敢放自己照片，如果被別人發現我追蹤一堆大奶妹怎麼辦
【問題】幻影設新作,
【楓谷】拒絕85代製代洗代抽，06/22 冒險家大改、星光交響樂、極限燃燒,玩ㄈ谷前的預防針： 想要玩ㄈ谷或回谷的人 真心建議是有朋友一起玩ㄈ谷，不然你上線會覺得很空虛 如果是資深ㄈ友，那有疑難雜症都可以問，至少不會當冤大頭 回谷>練等>農…
【自製遊戲】勇者之島 : 地下城(多人網頁遊戲),【勇者之島地下城】 找回最初感動的冒險起點 故事背景 遠方有一座小島，有一個久遠的地牢，傳說中有一個勇士阻止了大量怪物入侵，並且將之封印。 但最近因地殼不明的移動，…
今天完全沒客人,看來今天上班8小時都是玩電腦聽音樂看影片 不就跟我在家裡一樣 那我到底來幹嘛的啦
【指考】110指考（考試分發）集中串 末代指考落幕,Yeolpumta讀書群（文） Yeolpumta讀書群（文組二群） Yeolpumta讀書群（理） Yeolpumta讀書群（理組二群） 密碼皆為48763 110大學入學考試分發簡章 110大學入學考試分發名額 110場外指考賴群…
【討論】數位中介服務法草案內容極具爭議,如題 這個法其實就跟美國人前幾年在吵的社群媒體是否權力過大，這些平台做言論審查或自我審查的行為是否得當或違法甚至干涉憲法。 但是台灣的這個版本完全是在讓行政院各部…
巴友 星期六要做什麼？,要躺在家裡一整天嗎？ 要外出上班嗎？ 要一起玩嗎？
少女play,少女play 放置不累耶少女play 放置不累ya~
【問題】聽說股票跌很兇?,改快賣掉歐印龍巖或其他殯葬股 台灣人最討厭的重機猴要上國道必定血流成河對吧? 聽說很多智障這麼性幻想的，那就相信龍巖會帶來一股經濟奇蹟吧~~
【閒聊】在光華商場賣筆電三年 有任何筆電or桌機ㄉ相關問題都可以問 6/30更 旺季來臨,6/30更新：筆電桌機的旺季來ㄌ 你以為很多肥羊嗎 真d想太多 網購平台宛如照妖鏡 還能被盤也是偏扯 本文： 如題 有問題都ㄎ以問 希望能幫上忙 不論是這個工作相關的 或是想問筆電…
【討論】VT豚都去死一死好不好,如題，這就是我想要的巴哈姆特
【清早福利】淚痣紅唇高冷型女子高生竟下身濕透失神至翻白眼？！,@artpiles
【討論】求推求尊重（不要持之以恆推到人家出社會喔，強姦犯的前途會被你們毀掉）,某人的權貴老爸，成年人新聞圖片不犯法吧 反正單子也不能空郵到海外，拎北不怕，科科大家來刪一貼十  巴友提供 好霸氣啊，了不起負責喔 我看這樓被壓倒的機率＞＞＞你真的辭…
【其他】場外阿宅跑步集中地 2,之前那串樓主不知為啥刪了QQ 我跑步覺得在場外跟著紀錄也蠻有趣的，因此就開了新串 安全至上，別像我一樣亂跑跑出問題又要休息一陣子才能跑 然後切記切記切記，跑沒力了就休…
【情報】NCC將納管FB、YouTube 最高罰千萬,https://ctee.com.tw/news/tech/669454.html 20220630 NCC於29日審議通過《數位中介服務法》草案，將成為台灣第一部網路監理法令。 根據草案內容，將納管五大類業者，包括提供寬頻上網連線的中…
場外魔物獵人串 魔物獵人崛起_破曉 防7女高中生,場外獵人串dc 場外獵人串dc 專門用來聊天、約戰、交換調查報告....等等 因為是新創的所有問題會很多，還可能常常有更動 所以有興趣的就可以進來看看 #25997樓 2020/8/8號 我們見證了…
【問題】全場外最可悲的巴友,就是我
fgo好玩在哪裡？,感謝#300343賀圖 場外第一30萬樓 如有任何ID錯誤告知在354樓 - 若要徵友也可以到354樓留言 如題 都沒人再玩fgo我覺得好傷心好難過喔有沒有人可以出來陪我邊緣   MASTER ID表(會標示樓層)…
【討論】外面打雷閃電下大雨,好恐怖喔 幫要上班的人上香 上完先去睡覺了
【情報】媽的破貓,
【問題】如果有有錢人要包養你你願意嗎？,但是你每天都要讓他肛
【場外公主連結串】,日版原廠是CY拔拔 遊玩全程需要VPN 更新期間可以先關閉VPN更新比較快 →日版公主連結Android下載 →日版公主連結IOS下載 台版是sonet拔拔代理的哦 →台版公主連結Android下載 →台版公…
【閒聊】用佛法幫你解決生命疑惑 問 都可以問,開個串利益眾生 問 都可以問 關於感情相關問題 951樓 現代人的修行方式 1248樓 那個是如來藏，如來藏是那個 1434樓 寂靜以後，才能出來做事情 2216樓 你就是洞，你要進入洞裡，然後…
【情報】徐佳瑩新專輯《給》驚喜 兒子小樂高獻聲「我聽到都快哭了」14:512022/06/22,https://www.google.com/amp/s/www.chinatimes.com/amp/realtimenews/20220622003318-260404 LaLa徐佳瑩第六張專輯今(22日)發行，所有歌曲正式上架之後，歌迷意外發現暗藏驚喜，加碼收錄了〈小寶貝〉demo，短…
【整理】記錄近年執政重大舔共/滲透疑慮的新聞,原本是自己無聊記錄，結果內容異常多，就乾脆發出來跟大家分享了 純新聞統整記錄，沒有爆卦 記錄近年兩黨執政期間有較大具體威脅性的舔共新聞 那種藍委大挺新疆集中營、綠委…
【問題】佐助是不是蠻爛的啊?,勝率不高怎麼打怎麼輸 好幾次都是被救走不然早就掛了
【問題】有沒有人畫鳴人一開始就是六道鳴人的漫畫啊？,我記得有人畫小傑一開始就是大傑的漫畫
【情報】7/1號，今天是加拿大節,也就是加拿大的國慶日 或是好美國的國慶日 至於壞美國的國慶日還要再等三天 度
【討論】霸主真享福啊跟國中女學生看電影,拿著幾年前抽到的電影票約了好幾年都沒人要一起看直到現在只能自己去看 的40歲中年男子 旁邊坐一群國中生 真是浪漫
【問題】被女學生威脅了要怎麼辦,ななんと (↑野介)
【情報】韓國總統尹錫悅上台後首次拍板 韓國基本工資明年要漲5％,"韓國官方30日宣布，最低工資委員會（Minimum Wage Commission，MWC）同意，明年最低時薪工資調漲5％來到9,620韓元（約台幣240元），這是總統尹錫悅5月就任後首度做出調高工資決定。 MWC指…"
【心得】我說一個笑話,人人平等
【問題】清潔隊立的熊大,為什麼你們晚上都不給熊大開燈 那設這個夜燈是擺設嗎
【問題】現在的小孩英文是不是都很好?,聽說現在都雙語教學了，英文都很流利嗎?
【問題】幹幹幹 急急急! 有人知道健康體育護照要怎麼變回預設照片嗎,RT 剛才無聊亂改 不知道能不能變回去 還是老師那邊其實也不會知道 == 有人知道嗎?  自己DIY回來了 不要再推了 ==
【心得】天啊 我竟然被冷醒了,好想跟妹妹一路睡到中午
【討論】離散醬,機車還沒找到?
【心得】[闇影詩章]  場外SV群 第24彈卡包 「Edge of Paradise / 天象樂土」開始這場無終之宴吧~歡迎入坑,新手有想問的 可以加LINE群 歡迎你 Discord 群 https://discord.gg/bH2hPgC 安 我是樓主 因為做楓之谷實況主的關西真的忙 所以我半年沒玩了 樓主已達雙系列最高牌位 有問題都可以問 我的個…
【場外MLTD x SAO串】當你以為星爆只是玩梗.jpg,https://twitter.com/mltd_ch https://www.plurk.com/mltdtranslatech MLTD中文翻譯頻道上線啦 製作人快點按追蹤吧 現在手遊琳瑯滿目、不知該從何下手？ 猶豫不決不知怎麼選擇適合自己的手遊？ 那麼…
【VSPO】ぶいすぽっ！串,ぶいすぽっ！是一個虛擬電子競技企劃，其成員都是喜愛且擅長FPS遊戲的Vtuber，並常常參與各種電競比賽 中文官方網站：https://vspo.jp/tw/ 官方YouTube頻道：https://youtube.com/channel/UCuI5XaO-6…
【安價】最近學了易經卜卦，有想算的事情就進來吧! 接下來20樓快問快答，要快喔!~,【前言】 我們高中的選修課有一門叫「易經與預測學」，出於好奇，我這個國文超爛的二類仔就去選了。現在一學期過去了，是時候驗收功力了。有甚麼事情，問!都問! 【禁忌】 不…
【心得】每天逼自己更新轉學考進度,上學期+寒假讀過頭 這學期變得有點散漫 最後2個月每天逼自己更新讀書進度 順便回想今天幹了什麼 目標:清大資工  5/09 微積分:5小時 計概:1小時 英文:2小時 微積分 今天重看Stoke定理…
【情報】網路平台假訊息怎麼管？NCC擬捐25億元成立專責機構　公私協力共管,https://www.storm.mg/article/4401979 林上祚 2022-06-29 21:54 年底「九合一選舉」將屆，網路假訊息可望再度成為議題，儘管網路假訊息之監理並沒有目的事業主管機關，但依照上屆縣市長選舉…
女高中生路口突暴衝險遭遊覽車撞 生死一瞬間曝光網氣炸,2022年6月30日 女高中生神反應
【閒聊】場外第七史詩 夏日泳裝系列要復刻啦！,第七史詩，掌握在你手中的動畫。 以精美的必殺動畫、鮮明的人物設定 創造出屬於你的史詩！ 《第七史詩》x《Re：從零開始的異世界生活》合作 （已結束，等復刻） 巨乳 乳搖 獸…
【心得】中國以後打不打都可能大敗,那群滲透台灣的中國玩家要怎麼處理？ 故弄玄虛的地主跟故弄玄虛黑道會收？ 網路很多預測中國會輸 一部分中共賣國賊要投靠中華民國 在台灣的滲透組 會不會把中華民國搞成中共…
【問題】腦血栓,請問如果挪吒得腦血酸是一個頭得腦血栓還是三個頭都得 如果三個頭都得這樣保險金是不是一次賠三倍
【問題】被女小學生叫爸爸要怎麼辦,かみ田
【心得】鼠寶...這都是個啥阿,才一個禮拜沒追VT 突然就丟一個聯名機殼出來，還這麼好看 484逼人死 而且上個月才剛組完新電腦，用的還是君主的機殼 現在勞贖丟這個 280鎂 現在月底欸 窩知道窩估計應該可能有機…
覺得台灣 很幸福！,一大早就有一堆 超好吃又方便的早餐店 就算凌晨四五點 也有很多豆漿蛋餅油條可以吃 非常喜歡台灣的早餐店
【心得】夜市人生進度串,目前到26 每天看個一集 不知道何年何月才能補完 順便po些覺得好笑的截圖
【閒聊】人生好難又好累喔55555(厭世串),人生真的好難喔不想上班啊啊啊啊 人只要活著就一定會遇到一堆麻煩事，被環境逼著不得不努力，然後未來還是充滿著不確定性 有時候會想要是可以來場意外就好了，就可以不用再…
【閒聊】皮卡丘殺手,放個我家兔子 狗狗 度 跟朋友打賭輸了 要把這張照片放到社群軟體 第一個想到的就是場外 反正場外一堆怪人 而且這種文很快就會沉了 那麼久的文野要推 你們真的很機掰 難怪我那…
【情報】小額付費被盜刷大樓,點進此樓的各位巴友 請先注意一件事 那就是請先向自己使用的電信公司查詢自己的小額付費額度 如果你很少使用 google play 或是額度很高 請先進行關閉或降低額度 (因為很容易被盜…
【情報】上班,
【心得】久違的晨跑,
【討論】場外Soul Worker 靈魂行者集中串,當初想玩這遊戲是因為剛進入二次元的世界 然後發現這款遊戲 角色很棒 人設很可愛 那時候巴哈GNN新聞也有在打這個廣告 當時一堆留言說黑心辣椒拒玩勸世 當時我猶豫要不要玩 後…
【情報】天虹科技副總撞死騎士！警高官陪作筆錄　家屬被問：有無自殺傾向,天虹科技副總撞死騎士！警高官陪作筆錄 家屬被問：有無自殺傾向 2022年5月25日 https://www.ettoday.net/news/20220525/2258265.htm?from=fb_et_news&fbclid=IwAR2CBeMlVSYXaELOw4JKrMuB94BQ_ZXlmCwAXYT1fGNfIBr1mNRGSL7…
【三葉】你的名字-三葉教  歡迎進來分享天氣之子心得 陽菜加入大樓聊天室,嘻嘻 好想一次供兩個婆 三葉之偉大連板務都知曉紛紛來朝聖 目前已經有5位版務留名囉！ qwas2384088 (肥空) #6413 poi33333 (竹蛋) #6595 msaxmt (紅蓮) #8763 ←撐了542天 終於被折了 hkdrm2011 (H.K…
你允許女兒男朋友在你面前親你女兒嗎？,嘴對嘴那種，如果是婚禮現場，我還能接受，沒結婚前在我面前親，我會很想打下去
【心得】早安,各位肥宅
【問題】為啥蝦皮一堆賣衣服的要備貨10天以上,蛤
【心得】電鋸人他媽的有夠讚啦!(第二部7/13連載開始!!!),還沒看過的可以追看看保證不會失望 藤本樹我的超人~~ 「這本漫畫真厲害！」2021 男生篇第一名獲獎慶祝 https://mobile.twitter.com/ebanoniwa/status/1243168133864546304/photo/1
最近第七史詩狂抽中一堆五星欸,我怎麼記得剛開始遊戲不是這樣
【閒聊】優質蘿莉修女,
【問題】早上六點就聽到有人在放鞭炮,
【問題】索尼現在是不是岌岌可危啊,鈔能力比不過微軟獨佔打不贏任天堂 連現在IP也輸老三微軟 只能賣殼子割索粉韭菜 索尼會不會又重演當年的賣大樓啊
【D4DJ】場外D4DJ塔二代 2/14有hololive連動活動 好油喔peko,氣死 舊大樓太久沒推直接被巴哈拆掉 然後我還找不到大樓遺址 複製我自己編輯的作品介紹內容應該不算抄襲ㄅ Dig delight direct drive DJ 簡稱 D4DJ，是武士道於 2019 年春季提出的新企畫…
【情報】素食主義者：吃肉很殘忍欸,素食主義者：吃肉很殘忍欸 植物吃肉： 素食主義者：：0
【問題】霸主怎麼那麼討厭雙彈瓦斯,為何？？？
【心得】胖子聽起來又臭又髒 胖胖子聽起來卻很可愛,何解？
【心得】你知道單身代表什麼嗎,沒錯！就是能當瘋狂被幹的687！每天被大ㄐㄐ頂到肺 爽啦！ 千夜茶房
【問題】為什麼現在都不重播麻辣鮮師了啊？,
【認真】政府打算推動另一個版本的廢除網路中立 ─ 「 數位中介服務法 」,幾年前，電信三雄企圖推動「廢除網路中立」 當時不斷鼓吹政界商界盡速完成廢除 廢除的目的 第一：業者可以降速，如果要快，使用者必須多付錢給電信業 第二：電信業有權審核…
【APEX】場外推廣串，好玩控制 每天要玩,大年初一就有免費的玩啦！ 2019-02-05 12:38 By 歪力 由 EA 與《Titanfall》開發工作室 Respawn 在今（5）日大年初一釋出新作《APEX Legends》，主打全平台免費與組隊制玩法的大逃殺新作，玩家…
想聽英文歌 有推薦的嗎？,現在想聽歌 有推ㄉㄇ
【討論】獨家｜恐怖學弟夜闖學校宿舍！勒頸狂喊：給你死　男大生瞬間「斷氣」,https://tw.appledaily.com/local/20220610/YCEFATMDXNDIHBAXSIJDDKOJWQ/ 2022.06.10 15:00 人在宿舍坐，禍從對面來！雲林一所科技大學住宿男大生驚曝，他人就在學校宿舍房內打電腦寫程式作業，對面寢室…
【問題】移工在台灣是不是很幸福R,如提之前聽過案例 有錢人買了幾間度假用豪宅 然後顧移工住在裡面打掃環境 有錢人一年可能才去1.2次 平常都是移工自己住在豪宅裡 要幹嘛就幹嘛 還能領薪水
"[文長]椅子損壞後跟廠商""未來實驗室""求償以及跟YT""大麻煩""對峙的過程(12/20新增被備份影片)",因為談判已經有個結果了 所以做個總整理重新發一篇 有在用FB的人 應該都有看過未來實驗室的廣告(前一陣子打很兇) 之前有買過未來實驗室的6D椅及城市啞鈴組 6D椅跟啞鈴使用一段…
【情報】原神有後台專門偷個資,千萬別碰
【FF14、FFXIV】6.1更新、PVP牙狼復刻、金蝶祭6/3~6/20,"6.0預告片 職業介紹 4.0版本 5.0版本 在找好玩的線上遊戲嗎? 那你一定要試試這款""Final Fantasy XIV"" 世上最優秀的MMORPG之一 遊戲用採用月費機制，月費依帳號等級有兩種價格: Entry…"
【問題】垂垂 流浪詩貓 POP明 我不知道 阿宸學長 OGGYTREE 請進,請進
【閒聊】新Vtuber八卦串 (#161356封面女郎開票 #155922八卦串原味生存),本月封面女郎 @Sibylart 養成良好視聽者習慣 過濾掉垃圾訊息 善用獨立思考的能力 本串規則 請詳閱 我也不想訂太多 因為我覺得原本串內的風氣就很好了 可以討論 包含但不限於 VT 中…
【閒聊】「深夜」算不算是魔法的一種,總覺得有很多事 到了深夜就會變得很不一樣
【討論】現在最紅的日團是不是鬍子男,如題 聽了幾首他們的歌都覺得有夠讚
【問題】有射精地獄嗎,去到那個地獄以後會有一堆巨乳大姐姐圍繞著你 不斷的挑逗你全身上下 用盡渾身解數也要讓你射精 即便已經射到乾掉 射出血來 還是會不斷的射精 當個射精奴隸直到永遠
【問題】每次看到台灣南部停電都會覺得說,南部的鄉親就是要拿扇子坐在三合院外面乘涼阿吹三小冷氣.再給民進黨選票阿.冷氣別人吹停電停你的爽
【討論】開始您的投資旅程,謝囉
【討論】乃創個MLB串吧(世界大賽開始囉！),2020/10/28 洛杉磯道奇以4-2擊敗坦帕灣光芒成為2020世界大賽冠軍 睽違32年再奪下冠軍 恭喜道奇 2020/9/28 季後賽名單底定 2020年冠軍活動開催中！ 2020/9/4 Clayton Kershaw成功投出生涯2500K 拿個…
【情報】4寶爸不爽迷信妻子「狂捐錢」！怒灑汽油　放火燒教堂,2022年07月1日 15:32 ▲俄羅斯男子不滿妻子將錢捐給教堂，因此蓄意縱火。（圖∕推特∕@anno1540） 記者王佩翊∕編譯 俄羅斯聖彼得堡一間教堂6月26日上午突然冒出熊熊大火，由於建築…
【問題】一貫道的信徒 開放給場外問問題 問 都問,祭品圖 送上伊織もえ 為何加入一貫道? 家庭因素 單親家庭都跟爸爸 奶奶一起住 後來家人都走了 之後我一個人搬出來租房居住 一個巧遇後 加入道場 請問你是一貫道的人嗎 是 我是…
